contract_address,TX1 Trace Length,TX1 SSTORE Count,TX1 CALL Count,TX2 Trace Length,TX2 SSTORE Count,TX2 CALL Count,TX3 Trace Length,TX3 SSTORE Count,TX3 CALL Count,TX1 Original Trace Length,TX1 Original SSTORE Count,TX1 Original CALL Count,TX2 Original Trace Length,TX2 Original SSTORE Count,TX2 Original CALL Count,TX3 Original Trace Length,TX3 Original SSTORE Count,TX3 Original CALL Count,Tx1 Trace Diff ( original - patched),Tx2 Trace Diff,Tx3 Trace Diff,Tx1 SSTORE Diff,Tx2 SSTORE Diff,Tx3 SSTORE Diff,Tx1 Call Diff,Tx2 Call Diff,Tx3 Call Diff
0xCBd5af4B8971b26471045Eec3902Bb3AcdE323db,63,3,2,63,4,2,63,0,0,66,4,2,63,4,2,63,0,0,3,0,0,1,0,0,0,0,0
0x2327a8A0bB927449967b73F68c766858Ea87154D,115,1,2,122,3,2,122,0,0,124,3,2,122,3,2,122,0,0,9,0,0,2,0,0,0,0,0
0xB60f415f5130cB97Dc489bEa1eA4214dA5b35d03,105,1,2,111,3,2,57,0,0,115,3,2,111,3,2,57,0,0,10,0,0,2,0,0,0,0,0
0x8ea8874192C8C715e620845F833f48f39B24e222,229,1,2,236,3,2,183,0,0,239,3,2,236,3,2,183,0,0,10,0,0,2,0,0,0,0,0
0x92701D42E1504ef9FCe6d66A2054218b048ddA43,94,2,2,101,4,2,100,0,1,104,4,2,101,4,2,100,0,1,10,0,0,2,0,0,0,0,0
0xe541504417670FB76b612B41B4392d967a1956c7,111,1,2,111,3,3,57,0,1,115,3,2,111,3,3,57,0,1,4,0,0,2,0,0,0,0,0
0x00Cd11f2E7d45718686F8fbBc395f51154d3ffBA,122,2,0,120,4,3,120,0,1,123,4,2,120,4,3,120,0,1,1,0,0,2,0,0,2,0,0
0x777777c9898D384F785Ee44Acfe945efDFf5f3E0,2326,1,2,2329,2,2,1158,0,1,2332,2,2,2329,2,2,1158,0,1,6,0,0,1,0,0,0,0,0
0x8A71704f0F8891f92417faf840568eCee0Be0918,59,1,1,61,2,2,61,0,0,64,2,2,61,2,2,61,0,0,5,0,0,1,0,0,1,0,0
0xcc773EeDC0Ad7990cd963e93b40e6057Ae3dDFA6,60,2,2,65,4,2,65,0,0,68,4,2,65,4,2,65,0,0,8,0,0,2,0,0,0,0,0
0x4b4a7Aa3d100676DeED616e51A562E77e56B224a,270,1,2,272,2,2,174,0,0,275,2,2,272,2,2,174,0,0,5,0,0,1,0,0,0,0,0
0x6FFd7EdE62328b3Af38FCD61461Bbfc52F5651fE,658,1,2,664,3,2,295,0,0,666,3,2,664,3,2,295,0,0,8,0,0,2,0,0,0,0,0
0x9726470997DB23aC821597f28AF9343F8c5ec520,355,1,2,359,2,3,359,0,2,362,2,2,359,2,3,359,0,2,7,0,0,1,0,0,0,0,0
0xE3d9988F676457123C5fD01297605efdD0Cba1ae,545,2,0,548,4,3,60,0,1,550,4,2,548,4,3,60,0,1,5,0,0,2,0,0,2,0,0
0x7a7D08bCB2faF27414e86EcF9a0351D928054b6b,82,2,0,80,4,2,55,0,0,83,4,2,80,4,2,55,0,0,1,0,0,2,0,0,2,0,0
