original_contract_address,gas_original,gas_reexecute,deploy_time,total_number_re_execution,success_re_execution,re_execution_time,function_count,source_code_length,patch_time,bytecode_size,increased_bytecode_size,re_execution_time_original,re_execution_time_patched,total_gas_original,total_gas_re_execute
0x3f995ef6b569d2f988f7d94062b9d3a00c967ac5,37912,56249,226,7,7,29,22,313,0.6716251373,6054,168,0,0,0,0
0x4cb5877469fe0e7b5f0aaaa69e84110bcdafc3d5,113831,148754,227,40,40,224,20,383,0.8218288422,4499,275,0,0,0,0
0x2ec7a973f364727b635636573c320f591f32f6d9,47164,71723,229,42,42,194,28,586,0.1206724644,4588,342,0,0,0,0
0x2b37849DBf48165400BB6dFE629f972030bf207e,38772,63727,229,7,7,35,23,557,1.062393188,3637,272,0,0,0,0
0x2f5d65f2cc76fa248cced6a91f09291e8d8f639c,50361,60928,230,4,4,35,17,289,0.06001138687,3694,172,0,0,0,0
0x4ec0e007f514904267fef8e9291feec2a9839964,227525,254762,230,14,14,60,28,591,0.1247763634,4785,277,0,0,0,0
0x0289dfBD55567758a8a92CE517009e0b6f06E6Bc,46543,72836,230,172,172,729,30,587,1.119613647,4867,263,0,0,0,0
0x2b0650979bf4811b6685307952be66a67aea2290,87644,112627,230,70,70,352,20,394,1.127243042,4484,248,0,0,0,0
0x2e9955fdD6ad455A0aF0abEF6aFc1Dd7d218f55a,119599,123546,231,45,45,194,22,26,0.05578994751,4330,151,0,0,0,0
0x4DEf2C3b8f5406948a179410313e2CdCdE756978,42750,69132,231,64,64,329,30,585,0.09293985367,4770,320,0,0,0,0
0x03B48BA08EA58601147607188B9f6c9eBe4E5e03,91131,99783,231,980,980,4472,38,80,0.1525878906,7629,275,0,0,0,0
0x3cce4db960f037fb097ee8e8881bf6f9667515a4,45077,56966,231,10,10,50,17,562,1.071929932,2178,152,0,0,0,0
0x3db932023b4fc1dd6adbf56c659d452686b8c6c1,45897,60885,231,40,40,120,41,687,5.568981171,9327,256,0,0,0,0
0x2ce953d06BA7304c7a37B4DD32030018a878AFEC,207200,228844,232,17,17,169,21,26,0.07849025726,4107,212,0,0,0,0
0x4cB4357Fc7B8a965854dd41A72668a3Bd020ad5d,37877,55719,232,39,39,195,17,136,0.2918243408,3538,122,0,0,0,0
0x2d129Eb56b24f3101400B538C12D1A7298F462Ab,128138,158556,232,34,34,138,17,367,0.6999969482,3911,232,0,0,0,0
0x4ceaa66ad75a601bf0754a0c64728a8c5f2c5fc4,220229,263694,232,16,16,77,20,381,0.8175373077,4458,248,0,0,0,0
0x0441429bbe613ced447881b1bce1e073fe300b23,45072,74331,232,18,18,99,31,588,1.121520996,5117,270,0,0,0,0
0x2f1552bc7baf2a3832921972f080072a73895266,44897,56249,232,18,18,93,30,599,1.713752747,4795,320,0,0,0,0
0x2E0794073ec7b08E40D80A41599BB31Df042e4E5,23549,23549,233,2,2,7,5,58,0.004806995392,967,95,0,0,0,0
0x3Fc1f61a08c3924e6f55961326AF1EA89e04D9A8,45259,53901,233,216,216,998,51,29,0.04839897156,5889,266,0,0,0,0
0x2cd279e682835266820abf4dcf251b2a92075e7b,56529,70620,233,275,275,892,21,328,0.7038116455,4232,176,0,0,0,0
0x2bb84d1c53266435924b67cc051f362f45001313,45135,69049,233,12,12,85,30,592,1.270294189,4808,352,0,0,0,0
0x2b709e97b7ac884eb62a7904c2c6077ea7cc6aef,45773,72455,233,22,22,126,58,1167,2.225875854,7630,582,0,0,0,0
0x04c9c73da19d0e6cbd6dd9d4a1dd1c4a0f6a2460,61579,80925,233,38,38,183,60,977,3.028154373,7686,582,0,0,0,0
0x3d59ff7765936496b7bd0496aeefb54bbba07efb,46720,46720,234,1,1,6,9,95,0.2038478851,2131,59,0,0,0,0
0x2cd919ff0C9D593D018359A6C512C3650AC1D5B5,443758,443758,234,7,7,43,21,333,0.6351470947,6300,194,0,0,0,0
0x4c4aa498493ff5ed95f438177a43f4d5049c72d0,215314,215314,234,16,16,72,21,309,0.6630420685,4232,144,0,0,0,0
0x040dc0e2567687c615d0d1c5da68f2ec01c49625,57208,57208,234,14,14,64,35,51,0.7174015045,6238,212,0,0,0,0
0x2b10090131Fe011ED3260bAD2d20DF2163C63990,163304,163304,234,23,23,95,23,345,0.7402896881,4501,165,0,0,0,0
0x3cbdc26adb105042ae683f1e4b433443941a7998,46581,46581,234,12,12,59,21,380,0.8153915405,4827,172,0,0,0,0
0x3DED5bba186458C6871cd4d6F19725A34273e506,44388,44388,234,22,22,97,30,594,1.132965088,4800,352,0,0,0,0
0x03E0dfE160fDD64681F491CbF0EE0366A7efcc2a,49208,81346,234,555,555,2200,30,594,1.274585724,4794,320,0,0,0,0
0x2b5409c45473fc17065c5200ea8bcef065b2051c,46302,52505,234,272,272,1060,29,1159,2.210617065,5937,200,0,0,0,0
0x2A4ab8e408781F76dc0a6674dEb06D5AeEd3C5d6,43690,71471,234,64,64,274,62,1567,2.988815308,7317,326,0,0,0,0
0x03b42906cd0dd080633d62adee205204aae14c5c,59609,81546,234,110,110,573,51,1232,3.524780273,6191,412,0,0,0,0
0x3c966e1889c9ec949083aceb94826880bf80d0c4,230283,260971,234,15,15,88,20,384,9.887695313,6891,256,0,0,0,0
0x4EbACe5cda96217Ca80BF5aE28cce18Ed9B6A4B7,115611,152015,235,43,43,224,22,26,0.05578994751,4323,185,0,0,0,0
0x2ee1ad90263e38fb376df564b566b64cdf8b5010,45794,62850,235,16,16,89,29,588,0.1209144592,7209,249,0,0,0,0
0x3fAb284a3cD0A6d88d18D0fdA4bc1a76cdacd68A,26796,40817,235,2,2,6,5,58,0.1244544983,948,95,0,0,0,0
0x4E3809E903Cd900368bDe2d246ef7FF5dd55b7e6,137951,161763,235,32,32,173,14,348,0.6637573242,5508,37,0,0,0,0
0x4e67034b5488fd96ac3f95197de05e77f9318b65,225626,273887,235,15,15,97,16,355,0.7617473602,3821,149,0,0,0,0
0x2df60c61c8dace957f3e124053b80319bd1971bc,984597,1089548,235,3,3,27,20,375,0.8046627045,4553,221,0,0,0,0
0x2b24b654e2e56cabe7038fb03d5fd409e13c1b51,78229,98858,235,103,103,403,19,381,0.8175373077,4624,221,0,0,0,0
0x04f7c084e83f775a0e4490e7165f4c39ffea6219,43105,67936,235,7,7,29,21,312,0.9670257568,3170,131,0,0,0,0
0x2e7433dd3c37b6d26fdc6c459c3b86b0171c9cb2,36910,48144,235,3,3,31,30,587,1.119613647,4975,352,0,0,0,0
0x3fceB630faf6f4D3114E444DADc0132a663072F3,49853,74838,235,25,25,124,31,593,1.131057739,5119,372,0,0,0,0
0x4e37e9dac736d58120cb9273f571a1f2ea16dfef,72044,103074,235,148,148,733,80,960,1.831054688,10416,742,0,0,0,0
0x4e2d7a884cc84cef7db4ac0324cdb56e03fe331b,44634,52267,235,20,20,96,58,1316,2.823829651,7532,464,0,0,0,0
0x4edd35b4252bc124b28b97f1e880c82c0009191f,83998,95537,235,36,36,181,62,1887,3.59916687,10439,543,0,0,0,0
0x3e957275b1b2e4bbf5705a6132e52dd9a5acd5a2,41819,49543,235,8,8,50,20,375,13.05341721,6957,228,0,0,0,0
0x4e1903e2a0f77aa4cba040c1df37bc7c345ad505,179176,199530,236,21,21,112,24,412,0.09046030045,4593,221,0,0,0,0
0x04AF5Db56BdFC91a566199F4084dF46FC9879670,46123,50735,236,1,1,12,9,75,0.125169754,2619,72,0,0,0,0
0x3f82bd35b579818dbd89234529fb2c48a5ba3b77,145062,173991,236,566,566,1834,16,197,0.4227161407,4698,136,0,0,0,0
0x2c3F509A33fCAcF53f944918E9a7edb060a6f86A,206362,230371,236,17,17,70,22,328,0.5474090576,4318,160,0,0,0,0
0x2e3f5c10af3b7c2746e5f5964c02eab69d6973bf,80945,104593,236,92,92,354,20,396,0.6608963013,4443,272,0,0,0,0
0x3ffe7ddd19765a0760c9735b0c8c8ff61eef160c,79723,111556,236,90,90,373,17,366,0.6980895996,4275,200,0,0,0,0
0x3f74576aeee008e9f5c8999aaded187e4df70ed9,112849,136835,236,44,44,169,20,395,0.8475780487,6950,228,0,0,0,0
0x2edffb537e0635dacbac9a602195bc32cc537d1e,50378,74065,236,80,80,249,30,582,1.248836517,4805,288,0,0,0,0
0x4e1ae00403b6029ee286b338c02b446c630f5dd1,46367,63313,236,92,92,372,54,770,1.652240753,6856,410,0,0,0,0
0x4d649a2aa1bd33961d6546ed6cb567cb56eca351,57147,75154,236,2,2,8,37,1118,2.398967743,4400,182,0,0,0,0
0x2E201a514334277118d0609bb143F93D24DC22b5,54169,76356,236,258,258,1093,62,1331,2.856016159,7519,419,0,0,0,0
0x4df233ac0470Ce42585c196A0a2a0221F93B06f3,62937,69230,236,1,1,10,69,1700,3.242492676,8570,492,0,0,0,0
0x4ed0f1c0be0fe443f4135b36352bd24a70a015a1,46058,64019,236,276,276,981,62,1608,3.450393677,7316,410,0,0,0,0
0x3E2FB2961e3F79927EAe4F4F4e8CaB190D2E3A62,44574,52103,237,12,12,69,60,27,0.05793571472,7419,392,0,0,0,0
0x2cc8e271F11934F5Fa15942dFDa2b59432C2E0f3,23095,46834,237,11,11,59,4,54,0.1158714294,307,72,0,0,0,0
0x2bcce7ce7c93d5fad4db99d10cbe26ab11103f5a,113615,143082,237,43,43,254,21,313,0.5223751068,5663,137,0,0,0,0
0x4f768a40e8131ccdee328ae23c4642823510f826,199588,241898,237,19,19,93,20,295,0.5626678467,4109,137,0,0,0,0
0x0343B8CA376974D2cA76c363AE45bEd9577cA740,204500,249427,237,18,18,75,19,296,0.5645751953,3805,176,0,0,0,0
0x4Dd28b727ecEa04651b43140D58bd921f2bE3542,57325,80192,237,11,11,48,17,300,0.5722045898,2924,122,0,0,0,0
0x2ADF844435554D94eB3EF8749e12Ab4B0cd66A28,48540,57891,237,471,471,2302,23,326,0.6217956543,4401,214,0,0,0,0
0x03DcC6711eD59577C3295C9fcF58722a3F48BD8a,83317,98263,237,77,77,300,20,294,0.6308555603,4103,137,0,0,0,0
0x032b5F4Ec75B273c51B7fAd4299dc12B3C9aD319,157184,177554,237,23,23,126,21,305,0.6544589996,5287,152,0,0,0,0
0x3ef563f239a7bdb6cc03489f63efe071a87ed0aa,152073,183391,237,26,26,116,18,370,0.7939338684,4249,221,0,0,0,0
0x2c3c0d7099ad3b331ca53d8d49fbf0cb48fc097d,46111,57743,237,99,99,424,22,407,0.8733272552,4305,312,0,0,0,0
0x3e0935c86968afa88222dc3d77649c71d852e040,43270,50272,237,16,16,59,30,580,1.106262207,4800,320,0,0,0,0
0x03a49e4c39b100189a2477c22eb8d51ee91d2c2c,44002,60369,237,11,11,65,28,588,1.121520996,7639,302,0,0,0,0
0x4d85BDd708A314881e58bDfc9a1922f04c0CcbBA,45715,64023,237,8,8,48,31,596,1.136779785,5076,304,0,0,0,0
0x039caeaba185c9b4c8c4d9b0f5839dabe5cfed0a,42785,64908,237,11,11,65,55,683,1.302719116,5858,382,0,0,0,0
0x3e22ea85ea4b3f0b3046594342c5e297bdbd7077,49162,57324,237,158,158,733,47,1050,1.752376556,9088,326,0,0,0,0
0x2dfc2af4a106fe25d6a4a0da11a684cbb382a2b8,205891,253637,237,87,87,373,46,928,1.991271973,11600,682,0,0,0,0
0x2e13c53e2fa6836a049edf4aab3dc021fb3e0a19,46064,71008,237,273,273,1024,62,1615,3.465414047,11427,333,0,0,0,0
0x4e201a5a5534bb334a3d7df4c82cd5db3bd82f29,21274,37369,237,3,3,28,12,2246,4.819393158,4880,167,0,0,0,0
0x2bFa4843F5945B59f072238CAfae2D0737131118,48826,75357,238,131,131,796,48,24,0.04577636719,9307,582,0,0,0,0
0x2D2a4E03Ab7619e81D8Fc7145fB651b62479391F,46676,68158,238,139,139,593,34,26,0.05578994751,5114,221,0,0,0,0
0x4fe54711c6570988fca60fdb891b24515e29afdc,47210,61101,238,3,3,36,17,361,0.07944488525,6425,216,0,0,0,0
0x2adfc8600Ef96EeC9700d6Bf372D0F784dB99e5F,65859,89401,238,10,10,56,40,72,0.08583068848,6542,176,0,0,0,0
0x2E4390E975Cd7E2761A0540a041491f7E405662F,28600,43380,238,10,10,81,5,45,0.1287460327,571,42,0,0,0,0
0x048aa6e69d5117bd665af4128383a6982b8367b3,58494,76929,238,984,984,4531,23,41,0.1661777496,5078,242,0,0,0,0
0x4d2cb8fa6b43b6a21c2cebcd06161b84e3a38360,210018,247636,238,17,17,88,21,312,0.5950927734,4228,176,0,0,0,0
0x4fe728cd84254dea3ee79da05ea360b32aa6ffeb,139927,164167,238,31,31,123,20,403,0.768661499,4464,275,0,0,0,0
0x3f7a7fe9b5304042d179deadf2521ea12d97a5c7,335485,373536,238,112,112,448,8,408,0.7781982422,2941,53,0,0,0,0
0x4e5a88764640e21c255199467686e0e4704d4ed4,305325,337163,238,13,13,65,17,365,0.7832050323,4255,200,0,0,0,0
0x3F795B3ED47B56009EB2725e07ac7C9C14B6665E,115077,148877,238,40,40,172,18,375,0.8046627045,4285,230,0,0,0,0
0x3DB94D793Bc74469D709830E6bD06FE4eE1FAB8A,46235,54742,238,40,40,176,43,430,0.9226799011,4729,186,0,0,0,0
0x2dbab9a4ef7564f511e20461056720cb353fe958,47980,74272,238,24,24,129,30,585,1.11579895,4784,256,0,0,0,0
0x02c989e77432afd6d093fb6201c10984701b1b67,43719,54215,238,7,7,39,29,590,1.125335693,4522,311,0,0,0,0
0x04ec7a7f1caa41be026b598d4dde30231a30c5ac,41316,53048,238,7,7,50,31,596,1.136779785,7656,312,0,0,0,0
0x3eac4dbbcd67e7f9cbdb08502028b356b14e4dce,45392,62962,238,139,139,606,21,548,1.175880432,3798,221,0,0,0,0
0x2f4969327021286DB20fC70454bD76D7Ee20E657,43698,56797,238,14,14,94,30,593,1.272439957,7541,352,0,0,0,0
0x4c16834fa53d2a391b813c5b7f51aaedcaef48fa,43201,64789,238,9,9,37,30,595,1.276731491,4794,352,0,0,0,0
0x2e906be763fac29b61c070340919556c9553f5fc,45776,74824,238,47,47,238,29,827,1.380205154,6929,232,0,0,0,0
0x02130d419dc3c0e73fb9d028741ccabbd2d31062,69361,94198,238,411,411,1387,36,745,1.420974731,6088,437,0,0,0,0
0x2e6a6592a23e07dc942661749529941e726abec3,96885,123447,238,56,56,219,46,829,1.581192017,7718,622,0,0,0,0
0x4e910c0bb6839d88c5792e7acc528cce84f5ac67,61863,74651,238,3,3,32,46,921,1.756668091,9606,572,0,0,0,0
0x0293dedcf189730938909ff8eb1f4a777c3add1a,35170,59095,238,10,10,52,25,1132,2.159118652,5647,202,0,0,0,0
0x2b8782EFfcfCFe65455BdCda05D29FFAee92b944,42893,59857,238,17,17,68,62,1506,3.231525421,11409,462,0,0,0,0
0x2e3bab421503f572b882bcf0f6455ebfbf5ca819,38219,51334,238,4,4,24,25,1133,3.511667252,5642,168,0,0,0,0
0x3c4A76f977013004E0947174fF5e312174BEA660,47937,77791,239,142,142,493,30,26,0.04959106445,4819,352,0,0,0,0
0x4Dbf1D2c36D8E005fbE3b84F4D7d5E949B751FC2,49746,75749,239,61,61,329,61,27,0.05149841309,8466,375,0,0,0,0
0x043CFE6688Be466b59efA31886d9b08CBfdd5877,81139,108699,239,82,82,345,22,26,0.05578994751,6735,203,0,0,0,0
0x4cAE362D7F227e3d306f70ce4878E245563F3069,156554,175235,239,842,842,3479,36,54,0.1029968262,11524,552,0,0,0,0
0x02AF9836c98dd864dD069d64E2def0dd4c8B357a,126068,155675,239,148,148,587,42,86,0.1845359802,7368,312,0,0,0,0
0x3db84c29d38647230e8de77a5a68d93c11501ab3,83352,111928,239,73,73,313,18,377,0.7190704346,4496,200,0,0,0,0
0x2e18dfc6f09e7a6e6d9379bdd8c209a8d2f70a91,89986,124469,239,74,74,358,20,381,0.7266998291,4466,275,0,0,0,0
0x2eF517C0D4e70057f21495E2b13Fa331BfCd68e5,195290,232918,239,21,21,100,21,389,0.7419586182,4346,239,0,0,0,0
0x4eab7d7851ca9b5ab34a20e78722d591419e1b17,72313,79633,239,104,104,508,18,401,0.7648468018,4289,186,0,0,0,0
0x3ed62d5200972c8d956328e480ab365c2bde616d,332350,375653,239,10,10,70,17,360,0.7724761963,4274,179,0,0,0,0
0x3E2c0378FABE60c9F43d51F5Ecf7E585A445e0B4,37563,54264,239,4,4,23,46,363,0.7789134979,8789,311,0,0,0,0
0x2ae139c4dd597bb9a229b343f1b4b6366c29ed1c,129112,152727,239,36,36,145,17,365,0.7832050323,4280,179,0,0,0,0
0x04fcc929be68a54ee1c4dc1a92ec8e8102c792d2,145518,186746,239,29,29,123,24,318,0.8339881897,6648,184,0,0,0,0
0x4c28c49b39e473fea1c1e1248008e944979bf8e5,40316,48885,239,11,11,53,17,390,0.8368492126,2864,152,0,0,0,0
0x4e1a21636914bca5536ea4936bc14566058b080d,166987,200684,239,23,23,109,20,394,0.8454322815,6652,224,0,0,0,0
0x2fa86a33ce9ab986e48485ef81be34aa8e044be3,131841,168339,239,35,35,155,20,391,1.025438309,4547,275,0,0,0,0
0x2d6de6a368959c60fa368318514eed92ff2c92e5,47766,74728,239,5,5,34,17,539,1.028060913,2178,116,0,0,0,0
0x2c673ca7ea4e8a3794317689ab649c340cbb3d3d,45842,72587,239,6,6,41,31,601,1.146316528,4875,338,0,0,0,0
0x033d910f02A6c76156C993C897af34F93Ee5803a,275089,320728,239,12,12,82,18,376,1.165390015,4246,186,0,0,0,0
0x3db3ee9a4a8d31ff91a4aeb955e4ee29829d8de1,33639,44917,239,7,7,65,30,577,1.238107681,4775,256,0,0,0,0
0x3e53876d2138ef0d6f0f10416a5a465903a1c2d9,46549,78606,239,137,137,586,30,578,1.240253448,7542,256,0,0,0,0
0x3D5493df0d2696BF03e2493064189f36232958fc,46758,62653,239,112,112,351,28,585,1.255273819,7241,332,0,0,0,0
0x2bb9867e3061353611e00f9af7197672aab48a11,47179,58567,239,999,999,3908,30,592,1.270294189,7539,320,0,0,0,0
0x4d37030eb8333125f55616b86f6fe67f93ed1196,35527,51625,239,6,6,40,31,600,1.287460327,4999,263,0,0,0,0
0x2FFbFe8fed7EF03C044e33f735B4412d6A133288,45230,60585,239,13,13,87,42,698,1.331329346,4634,186,0,0,0,0
0x2de509bf0014ddf697b220be628213034d320ece,49212,69174,239,999,999,4139,25,784,1.495361328,5302,102,0,0,0,0
0x4d88405f6126df719980847006724d57d755e883,49108,65661,239,331,331,1324,31,589,1.82557106,8144,338,0,0,0,0
0x3e8ca0eae8E79106AF1c6B73F46F95239cEFe62c,46720,59808,239,345,345,1258,30,622,1.927852631,4951,338,0,0,0,0
0x2ba4ed95f724e58af635837dd84941973de7b2b4,47233,62652,239,2,2,15,43,1169,1.950979233,10933,466,0,0,0,0
0x2c1E5198001710d47eF1d387C6596373dC50ADEA,45342,55354,239,39,39,187,64,1333,2.542495728,7503,384,0,0,0,0
0x3cc1020aCDCd64b11Dd417d2C28388E71605d7C9,60683,75479,239,970,970,4907,57,841,2.606630325,11221,732,0,0,0,0
0x2f2fc9f4367feecf11cd2cce319ac11e67f0cd7d,57291,66146,239,16,16,109,47,1645,3.137588501,7596,416,0,0,0,0
0x4c3a7e71caf23a984486aba7cdf4d431b02ebaf2,46859,72769,239,47,47,219,62,1649,3.538370132,7325,326,0,0,0,0
0x4d594a1433ac812ae5af930e95b9b15c3a9e6c50,47031,74311,239,9,9,43,50,1264,3.917694092,6320,311,0,0,0,0
0x3D5A4F050645CA822E112d8bD586453c56603d90,143361,157697,239,1,1,11,62,2279,4.346847534,8565,342,0,0,0,0
0x4C09D8215b9152f2Aa488507F1F1A23c89ED245A,45940,71921,240,177,177,682,24,1,0.001907348633,3368,152,0,0,0,0
0x2E6df6C5455bD3d172041BDe882bd7EcfccD3718,140627,176544,240,29,29,227,23,26,0.04959106445,4501,165,0,0,0,0
0x4c2f85BA0ED464fCb776A5c562D2E47fDF55Beb2,60787,88510,240,35,35,158,60,29,0.05531311035,8887,568,0,0,0,0
0x4dc913a6a24d6dce02d87a159aeb6b49a691fa37,45495,73626,240,68,68,307,30,581,0.08822965622,4771,352,0,0,0,0
0x4de770ddf7956bbef89fd9533071445d0129ac9f,37954,50295,240,2,2,21,46,57,0.1087188721,8167,248,0,0,0,0
0x04bdfe6373bdfcf361ec009ffafb8ab0812c0428,201551,231948,240,19,19,118,20,387,0.1166243553,6943,228,0,0,0,0
0x2ade32b2827342c038b2f0bdb69552404dfe908a,81735,115601,240,86,86,408,16,356,0.1536409855,5984,186,0,0,0,0
0x3e7c4add320224d124125a6cb8dde2e45407f3dc,176473,194120,240,1,1,2,11,94,0.1792907715,926,46,0,0,0,0
0x2b0310C5183FD88d95775A7B1a0b48dA49cfadbB,90431,114217,240,66,66,300,22,26,0.1797676086,4364,185,0,0,0,0
0x3c2dbfada13a2ea53c5f88b4bfb9745600873005,76753,102133,240,90,90,358,16,367,0.3499984741,3717,202,0,0,0,0
0x4c03c566f0712B11747Eb42181A5B7F803F071FF,46668,57624,240,94,94,414,23,328,0.5474090576,4338,207,0,0,0,0
0x025f475b84b0710fb63bf856bd207debb53eab20,319960,354229,240,10,10,50,16,352,0.5874633789,3681,185,0,0,0,0
0x2a7e453c8d4136313e4cccc6d6fa1db684b50cc8,110141,140663,240,43,43,170,20,386,0.6442070007,4550,221,0,0,0,0
0x3f1a10e668d580032a3e89b2feda1761c59ab435,47210,51931,240,1,1,9,21,307,0.6587505341,6406,168,0,0,0,0
0x03f7767c5f95709800b1a4e000106337a5fca514,46916,77901,240,329,329,1401,30,585,0.6973743439,4803,320,0,0,0,0
0x02253dfa1f23e72e2e3e1c6b9cd2b8b0a2fc7bc5,222903,250586,240,17,17,76,12,341,0.7317066193,5294,176,0,0,0,0
0x3d5c7d417c839840f6402dcb8bd4f5c9984e4ce3,209950,242339,240,17,17,89,20,384,0.732421875,6885,256,0,0,0,0
0x2e80E39497378fB19627009dacE2077a58c314F2,51003,59074,240,69,69,343,37,396,0.7553100586,5295,208,0,0,0,0
0x4fb92219228c8cf816e3072bc46d2593c834b370,244082,279090,240,14,14,59,18,370,0.7939338684,4241,242,0,0,0,0
0x4d1142519e302597e338b0eee209f80403112340,105745,132231,240,46,46,189,18,385,0.8261203766,4234,242,0,0,0,0
0x4Cb2CA06237b565BF9180DF72cB152B2B1c22906,48753,65162,240,18,18,117,26,533,1.016616821,4258,176,0,0,0,0
0x3dd1da385fa2fec6986a11e1e34906fa414118df,45441,67473,240,154,154,769,30,599,1.142501831,4872,256,0,0,0,0
0x4dfbbaf01dea930f46eec0d377bd23be4d8b4096,44890,74968,240,18,18,110,55,692,1.154899597,9491,532,0,0,0,0
0x2a4bfae7af2d97c1c9db508e2f44d23c2fe4b07d,41805,48512,240,8,8,57,29,595,1.276731491,4824,288,0,0,0,0
0x3D457390Dc9A1F328a2d412268746711Fe852500,46875,55509,240,50,50,181,27,597,1.281023026,6956,311,0,0,0,0
0x2a8b8ea866f0e37ce8d50bb297d9cdbcc3b65f2a,43085,66105,240,4,4,36,34,887,1.691818237,7107,312,0,0,0,0
0x4f013c3f02fe9d1abd4a632d6b69766d64197559,41651,45940,240,4,4,36,48,814,1.74665451,9025,329,0,0,0,0
0x2E5e72BaC239091247cf6bA969126FF24e8a8836,46609,56783,240,67,67,224,30,583,1.806974411,7548,320,0,0,0,0
0x2C507BD84ec6fd55DD5570D35E4442dD35a41803,44932,63394,240,141,141,639,34,895,1.920461655,8133,256,0,0,0,0
0x2E10c19B75c9f862Dc4390446028A40de7a0a57C,43376,67917,240,6,6,34,46,631,1.955747604,5411,235,0,0,0,0
0x2bb183fba59618482be4c99735b988d0155bbff2,68937,91476,240,122,122,489,70,1030,1.964569092,9431,581,0,0,0,0
0x022f20868ee53f4a99de3155d4272e7c6b6b9f50,42341,57863,240,50,50,262,53,1223,2.332687378,8022,491,0,0,0,0
0x3c5fd9b190ca5e8170aac12e616704e2235163f8,47144,54607,240,8,8,57,64,1361,2.595901489,8143,672,0,0,0,0
0x4c994a6c353b3040b050d8342127f6ac4c9fced5,48550,61663,240,3,3,11,62,1603,3.057479858,11356,419,0,0,0,0
0x3daa2795e12736d892418b61cb46bf2d14c692d7,29014,31915,240,1,1,7,11,1887,3.149271011,2904,53,0,0,0,0
0x4f7E2F69962805cf2db955C6D08CE73A72194158,46495,74882,240,24,24,119,62,1611,4.993200302,7310,410,0,0,0,0
0x3e0Cf17c03237423fc3eAc6B59D42B505e99807a,159650,181362,241,24,24,136,20,26,0.04959106445,3982,152,0,0,0,0
0x033b82aD6e7481cc4C9435513f296e01F96778C2,91687,104813,241,60,60,373,22,26,0.04959106445,4334,202,0,0,0,0
0x04C7AdeBE1c471A854a5F57dA721711272264090,111803,135700,241,50,50,182,21,26,0.05578994751,4229,176,0,0,0,0
0x2Cfb08EEa4559C45c90e8BF492Ed39DBC4f061cA,74395,83036,241,172,172,614,34,72,0.1373291016,5582,222,0,0,0,0
0x0481e205f0e892482298f9f2ca1f1e39f01a4d16,31787,42718,241,5,5,40,30,581,0.1384263039,4770,352,0,0,0,0
0x4E5FAEecd8Dd476E3D2c0a8caFB76cc135a2CBE7,48523,68427,241,45,45,227,31,603,0.1606864929,4989,362,0,0,0,0
0x02c72756fdc1dea3f22458da3e1b9289cb418942,46474,73521,241,51,51,257,30,584,0.1762089729,7556,256,0,0,0,0
0x2FD5EAbA23Ab202815ACF160692A730800C0B916,57115,84564,241,237,237,739,23,26,0.2603530884,4279,144,0,0,0,0
0x4c37412255a1d456f3728bf198f4d73024f6a8a8,46413,55529,241,163,163,791,60,1418,0.3132035732,7100,372,0,0,0,0
0x3d9c195ae5feb66b1a7641e789338b50683ff747,53667,66039,241,2,2,19,26,226,0.4849433899,7172,144,0,0,0,0
0x4cEAEBc4C4B5f9f25af2F99d3518B5dC5C35F892,42467,71155,241,15,15,64,52,1332,0.5234012604,7266,462,0,0,0,0
0x4deab521064a91bc6e7ee5666f968ffc08eada44,501800,559888,241,6,6,43,20,291,0.5550384521,4113,137,0,0,0,0
0x4c93d01b645cc9a26d899384f8e77ec952c22c30,76343,96178,241,91,91,397,22,328,0.6256103516,6649,194,0,0,0,0
0x04446919570C66D258256FEfbf114c6941434Ed5,592334,662726,241,5,5,31,20,294,0.6308555603,4101,152,0,0,0,0
0x0409c67d435992640db025d592d0dd62723bcaaa,53858,59838,241,172,172,564,29,344,0.6561279297,4201,230,0,0,0,0
0x2B6D341e5Bf7b4023E27a84DC845e86539102fc4,71028,81621,241,6,6,41,20,307,0.6587505341,3736,140,0,0,0,0
0x3d7710f01db652f9118e69490640bd70209c52f3,153349,168683,241,1,1,9,17,374,0.7133483887,6512,200,0,0,0,0
0x3c4c2910089eca6f199d5978729a767dafc67461,44266,51093,241,33,33,143,18,379,0.7228851318,3925,179,0,0,0,0
0x2f701bac64524d21cb343137a7f29d539fd4d58b,125295,156261,241,36,36,172,18,386,0.7362365723,4243,200,0,0,0,0
0x2e2cfaad2b7b9ff6cfba4975e244467233d137f8,207696,252763,241,18,18,84,20,391,0.7457733154,6944,284,0,0,0,0
0x2C81C81698585F666c51F143d31659ec0762E3a6,730740,820001,241,4,4,20,23,348,0.7467269897,4464,184,0,0,0,0
0x0421222d9d9e0a22252623c6de39e701be3a6086,225307,267781,241,16,16,65,17,369,0.7917881012,4572,200,0,0,0,0
0x2fcf3032658cefb968278c3915c8f3d479e3c303,84330,100994,241,83,83,417,17,372,0.7982254028,6470,262,0,0,0,0
0x0461de0ab4c3f097873f776e4b374da0656ee5d9,100598,131277,241,51,51,235,20,391,0.8389949799,6851,256,0,0,0,0
0x4c421ae62aa04a5a2a3eb4f102f46546ee88cbaa,584710,648747,241,5,5,28,21,313,0.8955001831,4019,172,0,0,0,0
0x3f35e2EB722Ac443e6b25C4BDb5BEac8a6d7Ad1C,47483,66580,241,115,115,451,29,584,0.9746551514,7472,352,0,0,0,0
